ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
5575.T,JP,JPY,769.0,-1.28,25.86,28.38,12.92,-5.3,-6.67,1185.0,593.0,-35.11,65.5,0.73,672.55,640.42,765.27,45,5575.T
5484.T,JP,JPY,2260.0,-1.48,8.25,4.34,2.51,13.42,12.26,2294.0,1891.3,-1.48,62.2,4.4,2222.85,2228.2,2069.12,45,5484.T
5578.T,JP,JPY,1058.0,0.95,-14.12,24.32,-15.43,3.22,84.16,1343.0,562.57,-21.22,64.9,0.28,958.5,920.34,1023.65,45,5578.T
9362.T,JP,JPY,3800.0,0.26,0.99,12.09,3.79,8.83,11.93,3869.44,3165.0,-1.79,59.2,0.37,3540.75,3503.47,3528.66,45,9362.T
HAL,US,USD,40.36000061035156,1.79,37.01,4.05,18.72,49.94,98.88,40.42,18.84,-0.15,62.8,0.83,38.37,36.62,28.47,45,HAL
334A.T,JP,JPY,1806.0,0.11,-2.54,21.29,-12.29,15.97,18.06,2460.98,1325.67,-26.61,72.6,0.28,1717.45,1595.32,1630.82,45,334A.T
5985.T,JP,JPY,1600.0,-1.54,69.39,6.67,63.4,72.28,429.14,2257.43,281.7,-29.12,62.6,0.99,1523.8,1523.02,1025.18,45,5985.T
9478.T,JP,JPY,491.0,3.81,24.42,4.47,19.61,32.76,93.43,517.59,252.85,-5.14,61.2,1.92,474.65,469.84,402.46,45,9478.T
3965.T,JP,JPY,863.0,1.53,5.27,2.19,2.07,9.49,15.45,889.23,728.97,-2.95,63.0,2.32,844.1,838.1,808.51,45,3965.T
5945.T,JP,JPY,2538.0,0.36,11.92,2.5,12.74,24.65,43.27,2538.0,1763.73,0.0,65.2,0.62,2494.5,2468.77,2151.47,45,5945.T
5990.T,JP,JPY,2000.0,0.0,4.23,0.45,2.29,4.18,5.63,2005.0,1850.87,-0.25,69.4,6.46,1985.75,1978.7,1932.41,45,5990.T
3160.T,JP,JPY,597.0,0.17,6.8,3.11,3.65,-0.26,7.03,604.5,539.31,-1.24,60.7,2.02,590.9,585.5,578.38,45,3160.T
5244.T,JP,JPY,260.0,-2.26,23.66,16.04,14.52,-10.41,9.75,313.9,210.25,-17.17,74.3,0.81,234.55,230.93,251.94,45,5244.T
9636.T,JP,JPY,4195.0,0.84,1.57,1.57,0.6,3.44,3.83,4230.0,4000.54,-0.83,68.0,2.99,4164.75,4123.2,4093.5,45,9636.T
7031.T,JP,JPY,701.0,-9.08,12.16,13.61,17.42,-15.24,-19.98,900.0,556.0,-22.11,67.5,11.02,592.35,616.08,714.33,45,7031.T
EXR,US,USD,142.08999633789062,-0.4,9.75,8.89,2.6,-3.53,5.44,151.0,123.73,-5.9,66.6,0.8,138.17,140.43,137.3,44,EXR
AIZ,US,USD,229.8000030517578,-0.29,-2.94,5.7,-1.34,9.47,22.31,242.33,182.42,-5.17,73.6,1.36,222.53,221.54,217.98,44,AIZ
AAPL,US,USD,271.05999755859375,-0.87,0.11,7.18,6.23,4.62,30.08,285.92,194.68,-5.2,62.0,0.9,261.4,260.15,253.34,44,AAPL
9274.T,JP,JPY,941.0,0.0,14.9,8.91,9.78,21.75,52.05,990.0,618.86,-4.95,64.0,0.61,928.3,898.44,804.4,44,9274.T
USB,US,USD,55.58000183105469,-1.85,4.12,8.85,0.58,18.56,45.14,60.07,38.3,-7.47,61.9,0.53,54.85,54.0,50.05,44,USB
3480.T,JP,JPY,5060.0,-0.59,46.03,6.41,55.93,29.38,52.53,5320.0,3200.0,-4.89,47.3,0.64,5123.5,4192.2,3801.72,44,3480.T
8771.T,JP,JPY,1756.0,0.8,-1.09,8.19,-0.99,14.69,4.18,1833.08,1411.94,-4.21,65.1,1.09,1709.15,1696.84,1620.7,44,8771.T
JPM,US,USD,308.2799987792969,-1.09,-4.37,6.24,2.93,5.68,29.04,332.91,238.58,-7.4,63.7,0.59,303.92,297.91,301.54,44,JPM
9446.T,JP,JPY,709.0,-2.74,5.98,5.98,3.71,41.17,75.88,748.0,401.22,-5.21,64.4,0.36,687.3,687.61,588.89,44,9446.T
KEY,US,USD,21.6299991607666,-1.73,4.12,8.8,2.6,26.07,53.67,22.98,14.08,-5.88,67.0,0.82,21.19,20.66,19.26,44,KEY
KDP,US,USD,29.219999313354492,2.42,6.3,12.21,6.42,7.88,-12.21,34.3,24.87,-14.8,83.2,1.28,26.39,27.45,28.15,44,KDP
5802.T,JP,JPY,10015.0,-1.86,50.33,6.41,50.0,120.39,367.37,10787.07,2142.85,-7.16,54.5,0.59,9802.75,9753.62,6255.56,44,5802.T
7944.T,JP,JPY,4215.0,-2.54,17.57,5.9,8.22,29.41,39.86,4440.0,2944.5,-5.07,63.9,1.05,4165.25,4028.8,3536.27,44,7944.T
IEX,US,USD,204.74000549316406,-0.92,14.76,7.91,4.87,22.04,20.19,214.58,156.29,-4.59,70.3,0.53,198.28,199.08,179.87,44,IEX
6804.T,JP,JPY,2802.0,-0.11,12.73,5.34,2.92,17.6,59.76,2972.07,1753.9,-5.72,70.8,1.16,2721.9,2767.54,2480.66,44,6804.T
DOV,US,USD,224.77999877929688,-1.48,15.09,7.44,8.47,24.67,34.45,232.78,160.34,-3.44,68.0,0.85,214.77,217.28,192.98,44,DOV
EG,US,USD,343.3800048828125,-2.12,3.3,6.02,5.63,-1.07,-1.59,362.6,303.02,-5.3,62.7,0.54,336.47,332.23,331.01,44,EG
6547.T,JP,JPY,2340.0,0.6,-0.26,14.82,3.31,-3.7,6.06,2721.0,1921.0,-14.0,89.1,1.52,2138.5,2160.54,2269.47,44,6547.T
6647.T,JP,JPY,2940.0,-2.33,30.65,3.59,22.61,47.96,83.32,3105.0,1572.3,-5.31,68.2,0.43,2854.9,2750.56,2231.28,44,6647.T
HSIC,US,USD,77.54000091552734,-0.87,0.94,5.2,-0.06,21.94,18.98,83.35,62.03,-6.97,64.7,0.84,75.96,76.85,72.5,44,HSIC
6155.T,JP,JPY,494.0,-0.4,4.67,5.56,3.8,8.54,13.11,529.34,436.75,-6.68,71.1,0.67,481.7,476.37,479.51,44,6155.T
6157.T,JP,JPY,920.0,-0.86,7.1,6.98,5.77,20.94,36.0,966.0,649.45,-4.76,66.9,1.2,854.7,872.23,817.76,44,6157.T
5301.T,JP,JPY,1053.5,0.57,8.38,9.37,0.0,-1.54,22.06,1140.0,863.09,-7.59,74.7,0.83,1013.7,1009.46,1013.34,44,5301.T
4238.T,JP,JPY,1262.0,-1.41,-2.33,8.61,-4.48,3.82,5.53,1363.0,1054.63,-7.41,68.6,1.38,1186.8,1228.66,1181.6,44,4238.T
8572.T,JP,JPY,500.20001220703125,-0.06,3.4,7.34,-2.31,14.2,34.96,522.45,370.64,-4.26,65.4,0.98,480.27,481.05,460.59,44,8572.T
6908.T,JP,JPY,3585.0,0.84,14.74,7.5,6.73,21.63,49.79,3700.0,2393.35,-3.11,71.2,0.92,3473.5,3433.75,3068.9,44,6908.T
PH,US,USD,974.469970703125,0.06,9.21,8.1,4.63,27.69,64.46,1023.02,591.62,-4.75,64.8,0.78,949.41,954.46,845.03,44,PH
5310.T,JP,JPY,5950.0,0.85,22.55,9.38,6.25,23.71,55.58,6360.0,3785.53,-6.45,68.8,0.69,5720.0,5685.6,4888.76,44,5310.T
CFG,US,USD,63.790000915527344,-2.12,8.16,8.93,2.75,27.2,78.42,68.12,35.75,-6.36,62.5,0.67,63.08,61.37,55.41,44,CFG
NDSN,US,USD,282.3599853515625,-0.52,17.51,6.57,4.39,20.46,52.11,298.37,185.63,-5.37,74.3,0.59,273.49,277.37,245.22,44,NDSN
7412.T,JP,JPY,662.0,0.0,20.15,7.99,9.6,13.16,-1.05,684.0,517.0,-3.22,67.1,0.62,643.55,631.18,612.85,44,7412.T
FER,US,USD,69.08999633789062,-1.14,7.03,9.86,1.68,9.79,45.25,74.38,47.56,-7.11,60.8,1.07,68.84,68.42,62.72,44,FER
4629.T,JP,JPY,2001.0,-1.77,24.93,10.25,17.13,32.11,47.66,2150.0,1355.13,-6.93,52.3,0.74,2005.75,1830.17,1626.35,44,4629.T
4450.T,JP,JPY,2485.0,-1.0,19.07,7.95,8.61,0.77,98.68,2582.37,1240.91,-3.77,61.1,0.68,2419.0,2264.86,2144.03,44,4450.T
4392.T,JP,JPY,348.0,0.29,22.11,8.07,-1.97,16.44,42.78,366.0,243.74,-4.92,69.2,1.37,327.2,329.58,306.84,44,4392.T
4368.T,JP,JPY,3050.0,7.28,43.87,5.31,20.65,87.04,173.45,3271.23,1115.39,-6.76,59.4,1.41,2956.9,2982.47,2101.88,44,4368.T
ALGN,US,USD,189.61000061035156,-0.56,21.52,6.92,13.1,39.42,3.41,207.19,124.88,-8.48,67.4,0.76,180.04,180.04,159.0,43,ALGN
9278.T,JP,JPY,2010.0,-1.66,36.55,10.5,22.64,42.45,35.06,2247.0,1314.0,-10.55,55.7,0.52,2000.7,1883.68,1574.38,43,9278.T
4391.T,JP,JPY,1158.0,2.84,3.95,10.29,0.96,-3.98,-7.66,1539.0,1022.0,-24.76,71.0,1.31,1093.8,1075.18,1157.49,43,4391.T
6227.T,JP,JPY,6590.0,3.29,301.83,10.2,128.55,285.38,816.93,8420.0,718.7,-21.73,56.1,0.66,6514.5,6492.07,2862.52,43,6227.T
3591.T,JP,JPY,4770.0,-2.19,8.03,17.78,10.55,-15.89,-2.73,5863.29,3939.37,-18.65,65.4,0.72,4409.1,4340.23,4882.85,43,3591.T
3723.T,JP,JPY,2245.0,2.05,32.06,8.19,37.56,48.87,86.61,2682.0,1076.73,-16.29,69.8,1.13,2079.1,2165.3,1624.38,43,3723.T
3181.T,JP,JPY,967.0,0.42,7.83,9.76,11.65,7.6,27.18,1087.57,741.53,-11.09,67.4,0.52,939.05,899.04,915.76,43,3181.T
6901.T,JP,JPY,1296.0,0.08,-0.15,0.31,-0.38,28.06,56.09,1303.0,828.33,-0.54,61.5,1.87,1294.25,1292.3,1114.4,43,6901.T
3796.T,JP,JPY,319.0,-2.45,29.17,19.03,22.84,23.31,26.17,356.0,227.9,-10.39,54.6,0.46,312.1,274.9,256.58,43,3796.T
6594.T,JP,JPY,2465.0,2.88,17.83,18.51,3.61,-3.65,10.44,3275.0,1883.0,-24.73,68.4,1.01,2235.05,2268.08,2413.14,43,6594.T
2970.T,JP,JPY,1119.0,-1.24,36.63,11.79,36.13,-4.2,42.32,1249.0,746.0,-10.41,46.7,0.47,1136.15,1116.56,958.75,43,2970.T
6701.T,JP,JPY,4513.0,5.15,-16.61,13.56,-22.34,-8.74,44.48,6049.64,3123.72,-25.4,65.5,2.63,4144.35,4136.28,4758.48,43,6701.T
7916.T,JP,JPY,1961.0,0.05,1.55,9.55,1.96,34.12,52.94,1961.0,1263.7,0.0,88.1,1.07,1880.55,1833.75,1647.5,43,7916.T
6728.T,JP,JPY,9773.0,1.5,34.06,9.62,17.59,42.59,118.24,10855.0,4478.09,-9.97,68.7,0.87,9394.9,9622.0,7382.45,43,6728.T
9679.T,JP,JPY,2132.0,0.09,6.39,-0.05,6.28,10.41,30.89,2183.0,1621.94,-2.34,66.7,1.5,2079.35,2101.42,1944.18,43,9679.T
4769.T,JP,JPY,1063.0,1.63,1.14,3.0,1.14,2.8,14.45,1095.0,928.82,-2.92,68.5,1.92,1034.3,1033.64,1032.83,43,4769.T
6742.T,JP,JPY,699.0,1.01,18.16,7.7,10.18,40.58,54.28,764.79,453.07,-8.6,71.5,0.74,664.55,682.48,574.8,43,6742.T
7917.T,JP,JPY,1391.0,-0.64,22.18,5.46,17.11,29.24,45.43,1521.24,880.1,-8.56,64.3,1.36,1378.95,1373.33,1140.44,43,7917.T
8345.T,JP,JPY,1821.0,-1.73,46.74,13.18,22.91,94.67,177.64,2040.0,631.73,-10.74,60.0,0.72,1812.8,1667.16,1181.5,43,8345.T
153A.T,JP,JPY,1545.0,-6.48,30.6,35.65,27.69,-31.09,78.9,2571.91,863.61,-39.93,59.0,1.6,1381.0,1210.96,1622.28,43,153A.T
1897.T,JP,JPY,3410.0,1.79,15.63,2.71,7.74,19.7,26.0,3430.0,2614.92,-0.58,69.0,1.58,3328.25,3329.2,2990.12,43,1897.T
7131.T,JP,JPY,3910.0,-0.51,25.72,12.2,20.12,33.69,99.64,4450.0,1926.49,-12.13,56.6,0.34,3945.5,3862.9,3064.96,43,7131.T
6276.T,JP,JPY,312.0,-12.11,-5.45,26.32,-1.58,33.91,15.56,616.0,232.0,-49.35,65.2,2.71,259.0,261.96,293.04,42,6276.T
4690.T,JP,JPY,2501.0,0.0,46.69,0.93,45.83,25.68,62.19,2611.0,1542.0,-4.21,87.5,0.6,2490.7,2489.42,2015.49,42,4690.T
2802.T,JP,JPY,4758.0,3.66,43.9,5.59,34.63,11.19,66.85,4941.68,2822.98,-3.72,54.8,1.36,4631.1,4566.64,4021.28,42,2802.T
9610.T,JP,JPY,175.0,-7.41,-32.69,33.59,-18.98,23.24,103.49,303.0,82.0,-42.24,68.5,1.27,140.25,154.06,174.59,42,9610.T
1798.T,JP,JPY,1221.0,2.35,6.33,10.4,2.56,39.22,82.93,1267.0,656.03,-3.63,44.4,0.23,1230.0,1204.31,1036.48,42,1798.T
4307.T,JP,JPY,5092.0,0.33,-14.68,20.72,-13.34,-7.32,-3.31,6340.38,3528.38,-19.69,81.0,2.08,4676.9,4341.83,5390.68,41,4307.T
3104.T,JP,JPY,3760.0,10.43,38.15,5.57,24.86,74.2,151.44,4330.0,1495.37,-13.16,54.3,1.69,3770.5,3564.26,2620.98,41,3104.T
6521.T,JP,JPY,4755.0,3.37,204.81,8.81,161.26,129.05,285.33,5190.0,1211.0,-8.38,52.0,0.54,4532.5,4127.64,2404.69,41,6521.T
MSFT,US,USD,424.6199951171875,2.13,-10.01,16.03,-9.5,-18.09,9.19,539.83,356.77,-21.34,75.0,0.81,391.97,393.98,468.66,41,MSFT
QCOM,US,USD,148.85000610351562,11.12,-13.4,14.03,-3.05,-11.44,2.54,185.53,124.07,-19.77,83.4,2.72,131.5,134.31,155.11,41,QCOM
PANW,US,USD,178.5399932861328,3.08,-0.46,14.19,-3.08,-16.97,-0.25,221.38,141.67,-19.35,61.8,0.72,165.72,161.63,185.28,41,PANW
O,US,USD,63.33000183105469,-1.17,11.95,5.54,6.22,8.05,17.62,67.26,51.86,-5.84,60.2,0.77,63.04,63.74,58.77,41,O
6360.T,JP,JPY,4025.0,0.88,11.57,3.21,-0.41,20.71,16.29,4046.25,2623.73,-0.53,63.7,0.43,3922.5,3891.74,3496.48,40,6360.T
4369.T,JP,JPY,3200.0,1.11,15.2,16.75,-3.9,10.85,29.92,3795.0,2463.11,-15.68,74.4,0.92,2943.95,3104.94,3022.34,40,4369.T
WMT,US,USD,129.9199981689453,-1.6,15.45,6.33,10.67,22.08,37.84,133.62,93.65,-2.77,56.1,0.92,126.49,125.62,111.18,40,WMT
1418.T,JP,JPY,555.0,0.18,-18.66,11.22,-6.64,10.17,45.39,702.59,345.91,-21.01,74.4,0.41,519.55,530.57,499.96,40,1418.T
8793.T,JP,JPY,4265.0,1.67,7.77,4.28,4.91,12.23,18.14,4306.04,3576.39,-0.95,60.4,1.45,4197.5,4155.0,3921.29,40,8793.T
8707.T,JP,JPY,3740.0,-0.4,15.91,4.18,8.36,36.78,75.0,3810.0,1892.09,-1.84,60.4,0.96,3676.5,3605.77,2953.66,40,8707.T
6862.T,JP,JPY,2482.0,1.18,69.0,6.52,36.75,204.28,168.94,2930.36,735.32,-15.3,62.9,1.04,2291.3,2366.26,1375.16,40,6862.T
5660.T,JP,JPY,1509.0,0.73,11.63,1.96,4.04,16.75,16.44,1531.0,1244.59,-1.44,63.0,0.61,1476.4,1460.8,1370.42,40,5660.T
7091.T,JP,JPY,1284.0,-0.16,22.1,8.26,11.54,32.11,20.73,1315.0,856.39,-2.36,47.9,0.77,1281.85,1229.24,1054.29,40,7091.T
3172.T,JP,JPY,1156.0,-0.43,0.08,1.85,-1.1,2.62,4.31,1168.89,1097.8,-1.1,61.4,0.66,1152.45,1147.88,1136.53,40,3172.T
CARR,US,USD,60.970001220703125,-0.93,14.41,11.52,6.28,7.61,2.98,80.08,50.14,-23.86,62.7,0.86,59.34,60.03,60.16,40,CARR
CBOE,US,USD,303.80999755859375,1.23,22.75,8.59,12.74,28.37,42.99,309.38,211.08,-1.8,58.5,0.82,295.32,291.33,259.27,40,CBOE
3845.T,JP,JPY,279.0,-3.79,13.88,12.05,22.91,25.11,217.05,309.0,86.0,-9.71,44.0,0.15,287.15,260.3,222.67,40,3845.T
4240.T,JP,JPY,411.0,1.23,39.65,9.02,20.68,28.08,88.08,493.15,218.52,-16.66,62.5,1.21,393.8,400.69,344.7,40,4240.T
4222.T,JP,JPY,1149.0,1.32,59.73,6.29,30.0,65.66,210.89,1398.07,369.58,-17.82,64.0,0.99,1100.0,1114.54,826.89,40,4222.T
5279.T,JP,JPY,1352.0,-3.7,1.69,7.3,-9.66,4.11,65.52,1520.69,816.83,-11.09,73.7,2.65,1253.8,1314.33,1307.61,40,5279.T
3143.T,JP,JPY,729.0,-0.41,8.23,-0.14,4.61,2.6,24.47,749.47,534.58,-2.73,61.5,0.51,720.35,723.53,688.71,40,3143.T
5576.T,JP,JPY,2795.0,-3.29,-1.77,8.33,-7.47,-4.4,17.81,3084.25,2309.91,-9.38,61.4,2.94,2653.7,2637.42,2750.75,40,5576.T
5597.T,JP,JPY,1916.0,-1.99,66.32,11.46,13.04,-9.15,121.5,2900.0,806.0,-33.93,63.3,3.26,1717.3,1615.62,1855.19,40,5597.T
DECK,US,USD,108.52999877929688,0.76,1.63,15.84,7.14,5.84,-0.6,129.37,79.54,-16.11,63.9,0.63,105.25,107.55,103.51,40,DECK
2344.T,JP,JPY,1486.0,0.07,57.58,0.61,57.92,53.99,84.99,1490.0,803.31,-0.27,50.0,1.32,1486.6,1472.8,1079.47,40,2344.T
NI,US,USD,47.9900016784668,-0.62,14.61,5.61,10.04,10.88,25.0,48.47,37.07,-0.99,56.1,0.53,47.43,46.83,43.18,40,NI
2798.T,JP,JPY,2975.0,0.07,-0.67,1.74,-0.67,1.5,5.31,3025.0,2825.0,-1.65,61.5,0.57,2958.4,2951.4,2945.35,40,2798.T
7088.T,JP,JPY,1701.0,0.06,0.47,0.29,0.0,36.85,66.76,1709.0,1015.0,-0.47,63.2,0.13,1698.85,1698.4,1502.48,40,7088.T
L,US,USD,110.58000183105469,-1.64,5.72,3.47,7.76,10.77,30.01,112.42,85.06,-1.64,61.3,0.51,109.25,108.94,102.45,40,L
3902.T,JP,JPY,1684.0,0.0,-0.24,0.3,-0.36,271.74,298.11,1692.0,383.0,-0.47,60.0,1.33,1683.45,1682.28,1003.54,40,3902.T
2480.T,JP,JPY,1700.0,0.12,1.21,2.29,1.51,7.34,23.76,1725.55,1358.93,-1.48,64.9,1.43,1689.0,1683.26,1608.94,40,2480.T
6072.T,JP,JPY,1206.0,-6.07,515.31,4.06,509.09,663.29,626.51,1340.0,149.0,-10.0,71.5,1.06,1006.2,990.84,379.1,40,6072.T
8115.T,JP,JPY,1521.0,-1.49,13.78,10.86,9.38,11.74,61.48,1848.08,936.1,-17.7,60.2,1.14,1463.25,1414.34,1397.45,40,8115.T
6590.T,JP,JPY,4960.0,1.22,29.68,10.3,-9.87,38.63,294.35,5923.6,1257.78,-16.27,66.4,1.04,4670.75,4822.64,3518.27,40,6590.T
7409.T,JP,JPY,4585.0,2.46,74.6,8.26,32.71,153.31,598.22,5560.0,634.0,-17.54,66.1,0.76,4315.75,4588.6,2594.77,40,7409.T
2294.T,JP,JPY,3010.0,0.0,11.94,4.26,8.94,13.5,1.52,3070.0,2581.0,-1.95,62.9,1.04,2984.25,2910.28,2740.95,40,2294.T
4712.T,JP,JPY,808.0,0.12,14.12,6.88,10.99,13.51,11.05,822.0,693.11,-1.7,43.1,0.57,801.8,770.06,729.18,40,4712.T
TRV,US,USD,302.7300109863281,-1.5,6.54,3.98,7.85,13.35,18.66,310.9,247.73,-2.63,60.5,0.93,297.99,299.91,281.11,40,TRV
ELV,US,USD,344.760009765625,-0.44,-2.08,17.17,-7.97,0.69,-16.5,412.86,270.1,-16.5,77.8,0.74,313.52,309.05,321.38,40,ELV
WAB,US,USD,267.05999755859375,-0.89,23.63,8.76,15.4,35.93,45.84,270.94,182.32,-1.43,60.0,0.54,259.49,254.6,218.24,40,WAB
9366.T,JP,JPY,935.0,-0.43,3.73,2.41,5.67,12.59,22.16,946.99,754.68,-1.27,60.9,0.73,926.45,915.1,858.48,40,9366.T
9793.T,JP,JPY,4145.0,0.0,24.86,6.01,20.55,33.84,13.74,4320.0,3062.42,-4.05,59.5,0.74,4099.75,3940.48,3538.35,39,9793.T
2267.T,JP,JPY,2768.5,5.57,14.45,5.13,9.26,16.88,-2.69,2951.05,2271.58,-6.19,53.7,6.36,2674.05,2613.29,2476.62,39,2267.T
6391.T,JP,JPY,4815.0,-0.93,36.48,7.0,29.59,45.65,44.78,5161.18,3157.89,-6.71,56.9,0.64,4770.75,4508.43,3698.4,39,6391.T
7463.T,JP,JPY,955.0,-0.52,13.15,10.28,5.06,19.64,32.33,1000.0,717.18,-4.5,54.4,1.04,967.25,919.85,837.71,39,7463.T
7453.T,JP,JPY,3702.0,-2.04,30.48,7.62,22.56,21.8,63.42,4016.0,2265.39,-7.82,55.8,0.56,3668.85,3599.17,3269.62,39,7453.T
4366.T,JP,JPY,435.0,-1.14,37.05,12.99,9.91,49.01,114.51,467.0,202.79,-6.85,58.1,0.3,425.4,418.24,325.0,39,4366.T
9906.T,JP,JPY,4210.0,5.12,-1.16,5.65,-3.39,26.12,81.49,4475.16,2315.76,-5.93,57.5,2.27,3954.75,4012.21,3685.28,39,9906.T
5905.T,JP,JPY,1320.0,0.0,6.8,3.37,0.75,3.84,-3.84,1415.74,1206.65,-6.76,65.1,7.36,1300.2,1288.0,1280.63,39,5905.T
RL,US,USD,371.239990234375,0.03,2.68,11.57,3.31,10.98,70.75,389.52,217.42,-4.69,56.4,0.49,365.89,358.26,334.4,39,RL
6752.T,JP,JPY,2879.0,-0.88,39.56,8.74,26.39,58.21,88.27,3019.0,1395.37,-4.64,56.4,0.96,2858.0,2650.39,1980.85,39,6752.T
4972.T,JP,JPY,3395.0,1.19,33.52,5.6,24.97,60.55,137.96,3520.0,1414.99,-3.55,51.6,0.69,3393.75,3248.08,2414.8,39,4972.T
6797.T,JP,JPY,1217.0,1.84,-0.1,3.84,-0.42,6.55,16.58,1271.19,1041.03,-4.26,60.0,4.09,1199.75,1202.86,1183.62,39,6797.T
6092.T,JP,JPY,822.0,-1.56,37.21,5.66,33.47,45.12,44.86,858.0,549.64,-4.2,48.0,0.67,822.85,752.42,646.23,39,6092.T
7609.T,JP,JPY,2891.0,1.01,16.48,0.87,10.81,33.8,92.64,3015.0,1500.72,-4.11,62.6,0.96,2815.7,2847.3,2348.4,39,7609.T
4394.T,JP,JPY,858.0,-0.23,10.42,11.28,7.79,9.23,4.19,896.56,734.0,-4.3,52.5,0.17,834.2,800.06,794.74,39,4394.T
6255.T,JP,JPY,801.0,0.63,14.27,10.79,4.03,16.09,13.96,860.0,602.0,-6.86,50.6,1.38,788.75,778.24,714.42,39,6255.T
3773.T,JP,JPY,1102.0,-0.54,8.91,14.14,10.92,11.68,34.62,1221.61,818.6,-9.79,44.3,0.56,1138.4,1061.64,1038.26,38,3773.T
APO,US,USD,124.26000213623047,-0.41,-14.9,12.98,-5.16,1.79,-5.42,154.24,100.3,-19.44,76.0,0.5,115.01,113.2,130.41,38,APO
MSTR,US,USD,171.02000427246094,-0.84,8.82,28.65,6.5,-39.98,-53.62,455.9,106.99,-62.49,76.4,0.71,141.92,137.96,236.39,38,MSTR
4480.T,JP,JPY,2325.0,-1.9,-0.64,22.3,-9.04,4.97,-29.97,3665.0,1747.0,-36.56,77.4,0.9,2142.35,2009.62,2426.62,38,4480.T
7643.T,JP,JPY,1702.0,1.07,0.24,5.91,-5.32,5.52,27.3,1852.42,1336.99,-8.12,68.4,0.47,1676.9,1691.5,1701.96,38,7643.T
6368.T,JP,JPY,15860.0,-0.41,17.24,7.45,-2.67,30.2,146.49,17437.77,6434.22,-9.05,66.6,0.91,15278.25,15434.39,13036.09,38,6368.T
ESS,US,USD,255.3699951171875,0.12,0.48,5.92,2.05,-1.17,-3.59,283.85,237.05,-10.03,61.3,0.68,249.34,249.32,254.24,38,ESS
6176.T,JP,JPY,882.0,-0.34,29.27,1.97,29.64,17.86,59.78,973.85,545.29,-9.43,60.9,0.37,876.35,850.08,757.21,38,6176.T
6298.T,JP,JPY,1163.0,-1.77,13.72,9.92,7.24,32.7,58.23,1293.0,703.36,-10.05,62.1,0.79,1127.6,1101.07,953.25,38,6298.T
365A.T,JP,JPY,711.0,-2.2,13.14,5.49,4.94,27.09,-8.69,778.66,532.97,-8.69,62.0,0.91,698.1,682.95,629.09,38,365A.T
4373.T,JP,JPY,917.0,-1.61,-8.6,15.2,-1.19,-5.87,25.74,1135.57,725.35,-19.25,63.5,0.7,866.8,829.74,968.22,38,4373.T
6380.T,JP,JPY,3760.0,2.73,21.23,9.78,1.79,55.79,98.76,3875.0,1780.82,-2.97,58.6,0.58,3578.75,3486.9,2780.55,38,6380.T
EQR,US,USD,62.2599983215332,-0.62,1.59,5.89,1.44,0.61,-5.07,68.64,57.29,-9.3,61.5,0.71,60.84,60.87,61.29,38,EQR
BAC,US,USD,52.04999923706055,-0.8,-6.44,7.9,0.62,1.65,34.09,56.93,38.82,-8.57,62.8,0.66,51.63,50.32,50.85,38,BAC
6905.T,JP,JPY,1252.0,1.29,17.01,5.3,5.03,5.04,23.04,1368.0,1016.61,-8.48,64.2,1.0,1221.0,1241.38,1181.13,38,6905.T
4286.T,JP,JPY,1148.0,-1.29,7.69,7.49,7.29,23.48,40.59,1249.0,749.64,-8.09,62.0,0.44,1099.65,1096.12,1003.55,38,4286.T
3627.T,JP,JPY,282.0,1.08,11.92,11.9,10.63,-2.49,2.0,330.39,246.0,-14.65,49.0,0.25,279.75,264.12,279.95,38,3627.T
4488.T,JP,JPY,2660.0,6.57,2.98,17.34,-0.97,-9.55,-8.9,4775.0,2173.0,-44.29,74.6,4.81,2341.3,2314.66,2886.09,38,4488.T
PNC,US,USD,219.86000061035156,-2.32,5.58,7.83,0.36,22.7,43.42,240.63,153.3,-8.63,62.6,0.6,217.18,213.78,201.25,38,PNC
RF,US,USD,27.760000228881836,-2.25,1.69,8.82,1.03,17.52,42.68,30.66,19.46,-9.44,61.9,0.65,27.32,27.26,26.23,38,RF
212A.T,JP,JPY,2486.0,-1.27,-5.83,10.29,-5.19,-10.39,68.28,3443.08,1471.36,-27.8,71.6,0.54,2347.7,2419.14,2609.37,38,212A.T
3993.T,JP,JPY,3280.0,-0.61,-6.69,17.69,-2.09,-16.43,18.5,4475.0,2630.0,-26.7,69.5,1.42,2975.25,2981.58,3417.09,38,3993.T
5991.T,JP,JPY,2785.5,-1.56,10.01,9.6,1.87,3.89,84.47,3185.64,1495.88,-12.56,69.2,1.43,2579.68,2714.19,2370.39,38,5991.T
PHM,US,USD,127.55999755859375,-2.36,7.36,8.91,2.21,5.99,26.21,142.26,96.78,-10.33,61.5,0.88,121.62,125.89,124.76,38,PHM
BXP,US,USD,57.72999954223633,1.28,-13.71,10.08,-9.65,-19.82,-8.07,76.36,50.74,-24.4,78.7,0.91,54.37,54.88,64.86,38,BXP
6954.T,JP,JPY,6256.0,-1.32,-0.76,9.22,-4.84,31.98,78.75,7113.0,3499.77,-12.05,70.6,1.18,5988.6,6175.14,5278.22,38,6954.T
