ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
5975.T,JP,JPY,2353.0,-1.51,-0.01,-3.37,-6.21,7.78,44.39,2966.27,1629.57,-20.67,42.3,1.35,2439.8,2562.02,2300.47,2,5975.T
6850.T,JP,JPY,1535.0,-1.22,12.37,1.12,9.16,15.69,66.63,1825.91,918.75,-15.93,55.6,0.48,1555.2,1587.07,1365.99,2,6850.T
7238.T,JP,JPY,125.0,-0.79,6.84,0.81,3.31,5.93,23.76,176.0,96.0,-28.98,54.3,0.69,125.5,132.2,118.34,2,7238.T
253A.T,JP,JPY,1208.0,-1.95,9.32,0.25,4.14,17.17,88.01,1502.0,642.53,-19.57,49.4,1.36,1218.25,1277.84,1100.49,2,253A.T
7236.T,JP,JPY,8150.0,-4.23,1.46,-0.24,-4.16,17.87,133.95,11445.85,3483.71,-28.8,50.8,1.57,8400.0,9228.67,7724.06,2,7236.T
6473.T,JP,JPY,1682.0,-2.07,-3.38,1.69,-9.94,17.13,69.17,2110.72,994.24,-20.31,48.6,0.92,1721.75,1804.04,1589.52,2,6473.T
7021.T,JP,JPY,2258.0,-0.96,-0.38,1.16,-7.13,16.37,41.7,2747.84,1593.46,-17.83,40.4,0.89,2296.3,2283.49,2157.35,2,7021.T
6471.T,JP,JPY,1161.0,-1.32,18.79,2.25,6.06,54.32,98.33,1387.72,585.38,-16.34,58.3,0.68,1161.7,1203.48,933.08,2,6471.T
7014.T,JP,JPY,4055.0,0.0,9.93,-9.69,-7.33,7.61,133.86,5704.59,1733.96,-28.92,42.7,0.85,4216.5,4721.38,3999.39,2,7014.T
3941.T,JP,JPY,1274.0,0.2,5.64,0.28,0.31,40.25,68.16,1536.32,701.13,-17.07,55.9,0.82,1268.95,1341.6,1087.28,2,3941.T
1952.T,JP,JPY,3390.0,-0.73,7.94,-0.73,-2.82,17.15,74.28,4189.13,1945.1,-19.08,49.8,0.6,3499.5,3629.01,3133.93,2,1952.T
5201.T,JP,JPY,5629.0,0.57,7.73,0.99,0.66,18.93,35.58,6930.0,4013.16,-18.77,53.8,0.73,5672.55,5927.86,5153.23,2,5201.T
3153.T,JP,JPY,2940.0,0.58,5.41,-1.67,-5.86,31.64,79.45,3581.1,1626.52,-17.9,48.0,0.87,3018.0,3125.25,2590.15,2,3153.T
3944.T,JP,JPY,2350.0,-2.08,0.34,-0.93,-7.08,1.94,20.97,2841.0,1941.65,-17.28,49.3,0.53,2394.1,2520.14,2330.94,2,3944.T
1723.T,JP,JPY,2314.0,-2.32,19.23,1.06,-6.61,83.65,150.16,3017.52,924.99,-23.31,54.5,0.69,2422.65,2592.08,1826.19,2,1723.T
6495.T,JP,JPY,196.0,-2.0,34.57,-8.84,21.36,78.22,90.21,318.04,103.04,-38.37,50.0,0.58,203.6,226.39,151.86,2,6495.T
